epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/weather_loss,train/scene_loss,train/timeofday_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/acc_weather,metrics/acc_scene,metrics/acc_timeofday,val/box_loss,val/cls_loss,val/dfl_loss,val/weather_loss,val/scene_loss,val/timeofday_loss,lr/pg0,lr/pg1,lr/pg2
1,441.531,1.29959,0.88337,1.01964,1.67254,1.68577,1.06534,0.68405,0.42211,0.46248,0.26138,0.60455,0.61446,0.52765,1.24646,0.72019,0.99056,1.46612,1.40745,0.96625,0.00333029,0.00333029,0.00333029
2,872.256,1.32182,0.79485,1.02145,1.2652,1.10591,0.85686,0.7018,0.40891,0.45318,0.25208,0.60455,0.61446,0.89563,1.27986,0.75567,1.00738,1.18426,0.98983,0.75432,0.00653168,0.00653168,0.00653168
3,1298.65,1.35375,0.81416,1.03512,1.09167,0.9269,0.53255,0.64486,0.41075,0.43411,0.24083,0.67952,0.61456,0.90838,1.28649,0.77999,1.01934,0.98402,0.89841,0.34479,0.00960107,0.00960107,0.00960107
4,1723.13,1.34623,0.80099,1.03868,0.92019,0.80675,0.32378,0.66507,0.40693,0.44243,0.24496,0.69852,0.73701,0.91239,1.28781,0.7472,1.0191,0.82173,0.7266,0.28965,0.009406,0.009406,0.009406
5,2147.4,1.32559,0.77659,1.03056,0.7768,0.69807,0.28261,0.67258,0.42848,0.4599,0.25563,0.74353,0.74515,0.91179,1.28291,0.72546,1.01192,0.69585,0.67471,0.27395,0.009208,0.009208,0.009208
6,2571.74,1.30538,0.75803,1.02222,0.68501,0.63485,0.26205,0.67336,0.42008,0.45472,0.2544,0.76829,0.78315,0.91259,1.27787,0.72147,1.01245,0.6338,0.61861,0.26106,0.00901,0.00901,0.00901
7,2996.11,1.29299,0.74076,1.01558,0.60965,0.58166,0.2409,0.69751,0.4336,0.47874,0.27019,0.8211,0.78084,0.9157,1.2474,0.6968,0.99781,0.53898,0.57162,0.25009,0.008812,0.008812,0.008812
8,3420.27,1.28129,0.7285,1.00799,0.54831,0.55734,0.22327,0.6878,0.4453,0.48235,0.27062,0.83852,0.78235,0.91851,1.25589,0.69607,0.99815,0.49447,0.55898,0.2318,0.008614,0.008614,0.008614
9,3844.4,1.26984,0.7189,1.00621,0.50758,0.54626,0.20305,0.70672,0.44672,0.48905,0.27551,0.84745,0.79481,0.92534,1.24458,0.68733,0.99709,0.45836,0.53545,0.21579,0.008416,0.008416,0.008416
10,4268.75,1.26618,0.7128,1.00502,0.4779,0.54061,0.19844,0.69702,0.45211,0.4916,0.27699,0.84428,0.7928,0.93126,1.27038,0.69381,1.01099,0.46391,0.53713,0.205,0.008218,0.008218,0.008218
11,4692.19,1.25831,0.7037,1.0003,0.46685,0.53659,0.19621,0.70087,0.45586,0.50046,0.28418,0.84496,0.79692,0.92835,1.24398,0.68009,0.99657,0.45481,0.52344,0.20704,0.00802,0.00802,0.00802
12,5116.42,1.25341,0.69693,0.99866,0.45233,0.52998,0.19081,0.71445,0.45896,0.50755,0.28871,0.86057,0.79481,0.93327,1.23207,0.668,0.98969,0.41412,0.53198,0.19949,0.007822,0.007822,0.007822
13,5540.55,1.24745,0.69051,0.99475,0.4389,0.52419,0.19126,0.70287,0.468,0.5138,0.29312,0.8574,0.79572,0.93236,1.22205,0.66116,0.97967,0.41989,0.52451,0.20318,0.007624,0.007624,0.007624
14,5965.31,1.24264,0.68602,0.99281,0.43599,0.51236,0.18571,0.72066,0.46916,0.51836,0.29395,0.85537,0.79994,0.92955,1.22902,0.66012,0.99059,0.42607,0.51885,0.213,0.007426,0.007426,0.007426
15,6390.39,1.23898,0.68226,0.98876,0.42895,0.51856,0.18382,0.71656,0.47129,0.51717,0.29489,0.85819,0.80135,0.93688,1.22121,0.65485,0.9859,0.42086,0.51753,0.19081,0.007228,0.007228,0.007228
16,6816.42,1.2316,0.67347,0.98839,0.42475,0.51635,0.18497,0.7253,0.47627,0.5263,0.30086,0.86068,0.79984,0.93527,1.21495,0.64785,0.98526,0.41324,0.51525,0.19129,0.00703,0.00703,0.00703
17,7241.77,1.22941,0.66927,0.98573,0.42073,0.50727,0.18386,0.73397,0.4779,0.52854,0.30204,0.86023,0.79853,0.93417,1.21708,0.64549,0.98163,0.40912,0.51694,0.19817,0.006832,0.006832,0.006832
18,7667.51,1.22462,0.66448,0.98419,0.41148,0.50461,0.17983,0.72201,0.47843,0.52882,0.3034,0.85831,0.80165,0.93678,1.2199,0.64511,0.98079,0.41227,0.51149,0.18788,0.006634,0.006634,0.006634
19,8092.96,1.2202,0.66005,0.98346,0.4089,0.50191,0.17861,0.72928,0.48021,0.53224,0.30636,0.86045,0.80024,0.93678,1.2125,0.64112,0.98266,0.40399,0.51396,0.18723,0.006436,0.006436,0.006436
20,8519.31,1.22009,0.65791,0.98171,0.3978,0.50185,0.1726,0.73777,0.48166,0.53334,0.30612,0.86102,0.80004,0.93718,1.21814,0.63953,0.98352,0.4051,0.51141,0.18831,0.006238,0.006238,0.006238
21,8945.12,1.2128,0.65053,0.97986,0.3978,0.49127,0.17625,0.73526,0.48643,0.53684,0.30859,0.86045,0.80044,0.93828,1.21103,0.63631,0.98069,0.40465,0.50778,0.1886,0.00604,0.00604,0.00604
22,9370.64,1.21164,0.64851,0.97727,0.39287,0.49226,0.17574,0.73735,0.48124,0.53671,0.30913,0.86012,0.80446,0.93567,1.21367,0.63568,0.98133,0.407,0.50775,0.19532,0.005842,0.005842,0.005842
23,9796.3,1.21231,0.64709,0.97642,0.3925,0.4844,0.17128,0.63167,0.4906,0.54075,0.3122,0.85684,0.80336,0.93668,1.2062,0.62968,0.97627,0.41239,0.50668,0.19654,0.005644,0.005644,0.005644
24,10222.1,1.20648,0.64325,0.97518,0.38548,0.48684,0.17658,0.73788,0.49002,0.5452,0.31418,0.86159,0.79974,0.93768,1.21039,0.63156,0.9793,0.40287,0.50657,0.18497,0.005446,0.005446,0.005446
25,10647.8,1.20442,0.6384,0.97389,0.38481,0.48151,0.17329,0.73122,0.49223,0.543,0.31272,0.86249,0.80034,0.93859,1.21002,0.63067,0.97746,0.39559,0.51027,0.18434,0.005248,0.005248,0.005248
26,11073.7,1.20079,0.63639,0.97363,0.38064,0.47635,0.17591,0.73297,0.4953,0.54491,0.31371,0.86238,0.80326,0.93698,1.20788,0.62793,0.97666,0.39726,0.50395,0.18858,0.00505,0.00505,0.00505
27,11499.1,1.19504,0.62861,0.97104,0.37383,0.47734,0.16811,0.63672,0.49233,0.54482,0.31504,0.8617,0.80296,0.93708,1.2124,0.62775,0.97976,0.39813,0.50547,0.1868,0.004852,0.004852,0.004852
28,11924.9,1.19496,0.6293,0.97356,0.37499,0.47287,0.16684,0.74311,0.4922,0.54832,0.3166,0.86441,0.80205,0.93738,1.20753,0.62449,0.98068,0.39577,0.50633,0.18808,0.004654,0.004654,0.004654
29,12350.4,1.19396,0.62667,0.97397,0.36273,0.4657,0.1656,0.74623,0.49399,0.5496,0.31822,0.86373,0.80316,0.93859,1.20181,0.6209,0.9792,0.39853,0.50321,0.186,0.004456,0.004456,0.004456
30,12775.8,1.19246,0.62447,0.97348,0.36188,0.46798,0.17091,0.74538,0.49551,0.55125,0.319,0.86136,0.79974,0.93899,1.20751,0.62291,0.97918,0.40381,0.50545,0.18695,0.004258,0.004258,0.004258
31,13201.1,1.18545,0.61811,0.96662,0.36171,0.46744,0.16117,0.64272,0.49862,0.55257,0.32068,0.85853,0.80225,0.93899,1.20376,0.62075,0.97647,0.40552,0.50518,0.18935,0.00406,0.00406,0.00406
32,13627.1,1.18355,0.61474,0.9673,0.35492,0.45935,0.16477,0.74569,0.49801,0.55513,0.3217,0.86113,0.80316,0.93879,1.19883,0.61782,0.97586,0.40326,0.50653,0.18644,0.003862,0.003862,0.003862
33,14052.5,1.18095,0.61038,0.96506,0.35182,0.46077,0.16112,0.64716,0.50227,0.5575,0.32265,0.86272,0.80125,0.93929,1.19688,0.61463,0.97399,0.40666,0.50561,0.18612,0.003664,0.003664,0.003664
34,14477.6,1.17874,0.60791,0.96574,0.34173,0.44839,0.15897,0.62554,0.51982,0.55584,0.3206,0.86339,0.80275,0.94089,1.20156,0.61612,0.97777,0.40255,0.50854,0.18462,0.003466,0.003466,0.003466
35,14903,1.17589,0.60438,0.96715,0.34582,0.44888,0.15888,0.6489,0.50446,0.55698,0.32251,0.86226,0.80024,0.94049,1.19864,0.61321,0.97869,0.40266,0.5101,0.18536,0.003268,0.003268,0.003268
36,15328.6,1.17405,0.60126,0.96385,0.33417,0.44331,0.15786,0.63605,0.5053,0.55479,0.32134,0.86113,0.79924,0.94019,1.19747,0.61275,0.97708,0.40413,0.51132,0.1859,0.00307,0.00307,0.00307
37,15754.1,1.17217,0.59739,0.96356,0.33071,0.4404,0.14922,0.6461,0.50171,0.557,0.3225,0.86068,0.80014,0.94089,1.19524,0.61136,0.97641,0.40536,0.51304,0.18596,0.002872,0.002872,0.002872
38,16179.3,1.16986,0.59445,0.96426,0.33512,0.43448,0.15153,0.64796,0.50121,0.55682,0.32301,0.86091,0.79984,0.93979,1.19468,0.61165,0.97672,0.40857,0.51698,0.18917,0.002674,0.002674,0.002674
39,16604.7,1.16482,0.58981,0.96007,0.32627,0.42926,0.15322,0.64644,0.50476,0.55866,0.32359,0.86136,0.79994,0.94019,1.19604,0.612,0.97652,0.40814,0.51846,0.18844,0.002476,0.002476,0.002476
40,17029.9,1.16257,0.58641,0.95493,0.31739,0.42477,0.15116,0.64871,0.50485,0.55991,0.32429,0.86113,0.80034,0.93999,1.19651,0.61211,0.9744,0.40914,0.52,0.18762,0.002278,0.002278,0.002278
41,17455.5,1.15967,0.58211,0.95547,0.31019,0.42421,0.14313,0.68427,0.51207,0.56073,0.32304,0.86125,0.79994,0.94069,1.19824,0.61169,0.97419,0.41027,0.52169,0.18823,0.00208,0.00208,0.00208
42,17880.8,1.15736,0.57869,0.95468,0.30314,0.41962,0.14403,0.66517,0.51933,0.56125,0.3248,0.86125,0.79994,0.94039,1.1985,0.61168,0.97478,0.41258,0.52304,0.18911,0.001882,0.001882,0.001882
43,18306.4,1.15354,0.57495,0.95596,0.30499,0.40515,0.14223,0.67235,0.52107,0.56174,0.32536,0.86057,0.79753,0.94079,1.19789,0.61137,0.97556,0.41432,0.52533,0.18975,0.001684,0.001684,0.001684
44,18731.7,1.14993,0.571,0.95328,0.29142,0.40727,0.14026,0.6296,0.52699,0.56037,0.32472,0.85887,0.79883,0.94019,1.19681,0.61078,0.97505,0.41521,0.52542,0.19083,0.001486,0.001486,0.001486
45,19157,1.14644,0.56759,0.951,0.28931,0.39782,0.13385,0.64444,0.53083,0.56103,0.32518,0.85921,0.79964,0.94039,1.19602,0.61065,0.97442,0.41686,0.52834,0.19104,0.001288,0.001288,0.001288
46,19582.4,1.14444,0.56259,0.95086,0.27806,0.3965,0.13727,0.66652,0.52224,0.56143,0.32483,0.85921,0.79763,0.94049,1.19641,0.61106,0.97449,0.41963,0.53094,0.19174,0.00109,0.00109,0.00109
47,20007.6,1.14299,0.56059,0.94923,0.27736,0.39267,0.13215,0.66283,0.52364,0.56058,0.3241,0.85944,0.79803,0.94029,1.1969,0.61162,0.97511,0.42328,0.53252,0.19272,0.000892,0.000892,0.000892
48,20432.9,1.13637,0.55539,0.94764,0.26829,0.38422,0.13144,0.68052,0.51919,0.56034,0.3241,0.85898,0.79793,0.93989,1.19823,0.61255,0.9757,0.42634,0.53418,0.19336,0.000694,0.000694,0.000694
49,20858.1,1.1344,0.55297,0.94793,0.26633,0.37565,0.13096,0.67888,0.51496,0.55982,0.32411,0.85785,0.79723,0.93989,1.19913,0.61322,0.9763,0.42886,0.5367,0.19416,0.000496,0.000496,0.000496
50,21283.5,1.13161,0.54874,0.94669,0.25397,0.36938,0.1276,0.68675,0.51257,0.55929,0.32357,0.8574,0.79672,0.93989,1.19971,0.61386,0.97675,0.43054,0.53943,0.1948,0.000298,0.000298,0.000298
