epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
19,15070.1,super,1.21599,0.653178,0.979757,0.73632,0.48589,0.54101,0.31169,1.20563,0.63569,0.9785,0.006436,0.006436,0.006436
19,15096.1,base,1.22415,0.66789,0.97777,0.73105,0.48401,0.53507,0.30789,1.21179,0.6471,0.97318,0.006436,0.006436,0.006436
20,15864,super,1.21644,0.650279,0.981791,0.73957,0.48583,0.54138,0.31253,1.21654,0.64088,0.98033,0.006238,0.006238,0.006238
20,15889.8,base,1.22468,0.66517,0.978465,0.72615,0.48635,0.53894,0.31024,1.22137,0.64952,0.97589,0.006238,0.006238,0.006238
21,16657.6,super,1.21018,0.645266,0.980019,0.64442,0.49181,0.5456,0.31456,1.21129,0.63498,0.97938,0.00604,0.00604,0.00604
21,16683.5,base,1.21828,0.659418,0.976816,0.62698,0.49161,0.54041,0.31027,1.21774,0.64502,0.97615,0.00604,0.00604,0.00604
22,17450.5,super,1.20885,0.642951,0.977466,0.63875,0.49399,0.54955,0.31784,1.2114,0.63195,0.97677,0.005842,0.005842,0.005842
22,17476.5,base,1.21724,0.657838,0.97551,0.74291,0.48788,0.54207,0.3117,1.21771,0.64238,0.97394,0.005842,0.005842,0.005842
23,18243.9,super,1.2102,0.642129,0.975975,0.72733,0.49989,0.54721,0.31513,1.21119,0.63049,0.98035,0.005644,0.005644,0.005644
23,18269.7,base,1.21829,0.656609,0.974378,0.73988,0.48949,0.54264,0.31173,1.21786,0.64212,0.97501,0.005644,0.005644,0.005644
24,19037.2,super,1.2072,0.641412,0.970756,0.73667,0.49418,0.54978,0.31828,1.20499,0.62833,0.96778,0.005446,0.005446,0.005446
24,19063,base,1.21466,0.655512,0.969838,0.73537,0.48857,0.5474,0.31581,1.21011,0.63764,0.96722,0.005446,0.005446,0.005446
25,19830.2,super,1.20391,0.635958,0.973946,0.67134,0.50352,0.55306,0.32123,1.20225,0.62567,0.97735,0.005248,0.005248,0.005248
25,19856.2,base,1.21186,0.650474,0.972146,0.7404,0.49226,0.54572,0.31554,1.20937,0.63744,0.97429,0.005248,0.005248,0.005248
26,20623,super,1.19974,0.632878,0.977378,0.64305,0.49495,0.551,0.31889,1.20313,0.62572,0.98012,0.00505,0.00505,0.00505
26,20648.9,base,1.20848,0.64816,0.974232,0.62877,0.496,0.5447,0.31504,1.2092,0.63637,0.97445,0.00505,0.00505,0.00505
27,21416.3,super,1.19432,0.62627,0.973207,0.63385,0.50191,0.55195,0.31909,1.20218,0.62231,0.97852,0.004852,0.004852,0.004852
27,21442.3,base,1.203,0.641454,0.970241,0.64137,0.4967,0.54931,0.31668,1.20772,0.63335,0.97363,0.004852,0.004852,0.004852
28,22209.5,super,1.19475,0.625388,0.969791,0.64264,0.50054,0.5556,0.32062,1.20203,0.62239,0.97293,0.004654,0.004654,0.004654
28,22235.4,base,1.20285,0.640304,0.968391,0.642,0.49594,0.5491,0.31702,1.20675,0.63228,0.96918,0.004654,0.004654,0.004654
29,23002.7,super,1.19247,0.623123,0.971252,0.61216,0.52123,0.55648,0.32213,1.19946,0.6193,0.97489,0.004456,0.004456,0.004456
