=== [1/2] Train: feat=both, prev_p in {0.0, 1.0}, seeds 0-4 ===
  training prev_p=0.0 seed=0 -> method02_advantage_regress_tinyConv/outputs/bdd100k/policy_both_prevpp00_s0.pt
ep  48 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0001 corr -0.000
ep  49 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0002 corr 0.000
ep  50 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0001 corr 0.000
ep  51 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr -0.000
ep  52 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0002 corr 0.000
ep  53 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr 0.000
ep  54 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr 0.000
ep  55 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr 0.000
ep  56 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0000 corr 0.000
ep  57 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr 0.000
ep  58 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0002 corr 0.000
ep  59 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0000 corr 0.000
ep  60 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0002 corr 0.000
ep  61 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0000 corr 0.000
ep  62 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0001 corr 0.000
ep  63 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0003 corr 0.000
ep  64 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0000 corr 0.000
ep  65 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0001 corr 0.000
ep  66 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0003 corr 0.000
ep  67 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0001 corr 0.000
ep  68 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0001 corr 0.000
ep  69 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr 0.000
ep  70 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0002 corr 0.000
ep  71 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr 0.000
ep  72 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr -0.000
ep  73 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0000 corr 0.000
ep  74 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc -0.0001 corr 0.000
ep  75 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.020 acc -0.0001 corr 0.000
ep  76 | train total 0.6665 acc 0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr -0.000
ep  77 | train total 0.6665 acc -0.0000 flops 0.6415 p_super 0.000 || val p_super 0.019 acc 0.0001 corr 0.000
