epoch,time,config,train/box,train/cls,train/dfl,train/weather,train/scene,train/timeofday,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/acc_weather,metrics/acc_scene,metrics/acc_timeofday,val/box,val/cls,val/dfl,val/weather,val/scene,val/timeofday,lr/pg0,lr/pg1,lr/pg2
1,786.594,super,1.30092,0.93186,1.02194,1.64301,1.62019,1.02935,0.59412,0.43509,0.4795,0.27447,0.60455,0.61446,0.53788,1.22886,0.70098,0.98071,1.34664,1.2506,0.90278,0.00333029,0.00333029,0.00333029
1,812.668,base,1.32118,0.976423,1.02483,1.64116,1.61807,1.02983,0.59309,0.42152,0.46566,0.26537,0.60455,0.61446,0.52795,1.24544,0.7293,0.98179,1.34324,1.24494,0.90713,0.00333029,0.00333029,0.00333029
2,1586.21,super,1.27831,0.750272,1.00513,1.19681,1.03648,0.6569,0.60744,0.43272,0.48538,0.27535,0.60455,0.61446,0.91179,1.23507,0.71607,0.98915,1.09283,0.94358,0.39007,0.00653168,0.00653168,0.00653168
2,1611.78,base,1.29351,0.775831,1.00433,1.20481,1.03682,0.690244,0.59797,0.42388,0.47728,0.27053,0.60455,0.61446,0.91189,1.24634,0.73931,0.98306,1.09604,0.94986,0.40666,0.00653168,0.00653168,0.00653168
3,2380.96,super,1.29288,0.752727,1.01251,1.03507,0.845162,0.325924,0.60857,0.43191,0.48046,0.27315,0.68348,0.73761,0.91019,1.25482,0.71581,0.99979,0.93377,0.73765,0.31121,0.00960107,0.00960107,0.00960107
3,2406.73,base,1.30553,0.774929,1.00916,1.04262,0.867185,0.335248,0.59291,0.42681,0.4705,0.26739,0.69038,0.71921,0.90868,1.26748,0.7326,0.9967,0.94457,0.76478,0.3156,0.00960107,0.00960107,0.00960107
4,3173.37,super,1.29493,0.746219,1.00915,0.826511,0.691634,0.282547,0.70119,0.43866,0.4832,0.27429,0.73991,0.74505,0.91169,1.25237,0.70111,0.99968,0.70363,0.67937,0.27233,0.009406,0.009406,0.009406
4,3199.22,base,1.30588,0.765985,1.00665,0.853512,0.704886,0.286576,0.69098,0.43661,0.4752,0.26954,0.72668,0.74113,0.91149,1.26521,0.71986,0.99333,0.72425,0.68887,0.27582,0.009406,0.009406,0.009406
5,3965.82,super,1.28573,0.732324,1.01445,0.672369,0.659055,0.267143,0.69749,0.44661,0.49121,0.27679,0.78378,0.75872,0.91209,1.25757,0.70364,1.00123,0.60983,0.62484,0.26676,0.009208,0.009208,0.009208
5,3991.63,base,1.29566,0.750924,1.0066,0.690188,0.670221,0.269585,0.69289,0.43967,0.48293,0.27304,0.76716,0.74545,0.91129,1.26646,0.71931,0.9901,0.63614,0.64307,0.27113,0.009208,0.009208,0.009208
