epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/weather_loss,train/scene_loss,train/timeofday_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/acc_weather,metrics/acc_scene,metrics/acc_timeofday,val/box_loss,val/cls_loss,val/dfl_loss,val/weather_loss,val/scene_loss,val/timeofday_loss,lr/pg0,lr/pg1,lr/pg2
26,11052.9,1.20112,0.63716,0.97771,0.64186,0.58563,0.27414,0.63933,0.49015,0.54208,0.31278,0.6865,0.70155,0.84788,1.2096,0.62707,0.98301,0.62802,0.57539,0.26756,0.00505,0.00505,0.00505
27,11476.8,1.19536,0.63012,0.97431,0.62735,0.58042,0.26902,0.64333,0.4936,0.54519,0.31522,0.68985,0.7047,0.85031,1.21075,0.62801,0.97985,0.60929,0.566,0.2649,0.004852,0.004852,0.004852
28,11901.5,1.19575,0.63,0.97176,0.62582,0.57149,0.26911,0.73623,0.49591,0.54878,0.31672,0.69291,0.70769,0.85256,1.21104,0.62628,0.97828,0.61389,0.56016,0.26518,0.004654,0.004654,0.004654
29,12326.3,1.19446,0.62864,0.97199,0.60556,0.56474,0.26366,0.6444,0.49537,0.55092,0.31968,0.69608,0.71047,0.85464,1.20336,0.62112,0.9763,0.59223,0.5564,0.26561,0.004456,0.004456,0.004456
30,12751,1.19226,0.62373,0.96999,0.60319,0.56412,0.26901,0.74399,0.49667,0.55372,0.31925,0.69919,0.71301,0.85661,1.20815,0.62161,0.97884,0.58822,0.55536,0.26348,0.004258,0.004258,0.004258
31,13175.6,1.18579,0.6185,0.96561,0.59795,0.56301,0.26533,0.63875,0.49713,0.54961,0.31848,0.70225,0.71548,0.85844,1.20645,0.61937,0.9759,0.58264,0.55115,0.26753,0.00406,0.00406,0.00406
32,13600.4,1.18388,0.61424,0.96573,0.58739,0.55386,0.27011,0.7457,0.49532,0.55125,0.32048,0.70533,0.71785,0.86015,1.20619,0.61861,0.97647,0.57093,0.54875,0.26438,0.003862,0.003862,0.003862
33,14024.7,1.18283,0.61043,0.96653,0.58424,0.56008,0.26218,0.64641,0.49856,0.5541,0.32086,0.70837,0.72012,0.86178,1.20525,0.61785,0.9763,0.5615,0.54707,0.26406,0.003664,0.003664,0.003664
34,14449.2,1.17873,0.60802,0.967,0.56884,0.55273,0.25916,0.64011,0.50371,0.55469,0.32172,0.71129,0.72237,0.86331,1.20619,0.6177,0.97826,0.55823,0.54652,0.26257,0.003466,0.003466,0.003466
35,14873.5,1.17582,0.605,0.96633,0.57408,0.55196,0.26129,0.64448,0.50091,0.55484,0.32258,0.71422,0.72448,0.86474,1.20283,0.61547,0.97735,0.54886,0.54566,0.26306,0.003268,0.003268,0.003268
36,15298.1,1.17413,0.60142,0.9639,0.5641,0.54676,0.26264,0.62219,0.51509,0.55627,0.32276,0.71699,0.72632,0.8661,1.20276,0.616,0.97766,0.5469,0.54986,0.26406,0.00307,0.00307,0.00307
37,15723.2,1.17317,0.59797,0.96273,0.5585,0.54875,0.25248,0.65335,0.52034,0.55806,0.32349,0.71981,0.72811,0.86738,1.2023,0.61457,0.97627,0.54273,0.5484,0.26252,0.002872,0.002872,0.002872
38,16147.3,1.17151,0.59656,0.96479,0.5656,0.54607,0.25743,0.61006,0.5235,0.56036,0.3243,0.72254,0.72987,0.86859,1.20039,0.61259,0.97693,0.54137,0.54519,0.26013,0.002674,0.002674,0.002674
39,16571.4,1.16627,0.59108,0.96097,0.55377,0.54689,0.26003,0.63846,0.50742,0.56216,0.32499,0.72522,0.73153,0.86974,1.20115,0.61185,0.97628,0.53695,0.54424,0.26089,0.002476,0.002476,0.002476
40,16996.1,1.16292,0.58727,0.95632,0.54603,0.53913,0.25692,0.64007,0.50739,0.561,0.32473,0.72781,0.73308,0.87083,1.20122,0.61189,0.97463,0.53311,0.54373,0.26099,0.002278,0.002278,0.002278
41,17420.5,1.1597,0.58341,0.96191,0.54144,0.55135,0.25259,0.6442,0.51884,0.56205,0.32428,0.73029,0.73462,0.87187,1.20357,0.61262,0.97745,0.53269,0.54356,0.26011,0.00208,0.00208,0.00208
42,17844.5,1.1581,0.57941,0.95734,0.5343,0.54655,0.25284,0.67552,0.51947,0.56414,0.32553,0.73265,0.73607,0.87287,1.20397,0.61266,0.9781,0.53229,0.54336,0.25902,0.001882,0.001882,0.001882
43,18268.8,1.15357,0.57517,0.9548,0.54106,0.53688,0.2527,0.61168,0.52472,0.5619,0.32537,0.73489,0.73748,0.87381,1.20437,0.61292,0.97752,0.53159,0.54275,0.25789,0.001684,0.001684,0.001684
44,18692.7,1.15029,0.57096,0.9525,0.52588,0.53838,0.25256,0.64089,0.5083,0.5605,0.3243,0.73705,0.73884,0.87472,1.20397,0.61263,0.97653,0.53105,0.54248,0.25766,0.001486,0.001486,0.001486
45,19117.1,1.14698,0.56771,0.95019,0.52843,0.53385,0.24767,0.65189,0.50108,0.55882,0.32276,0.73914,0.74013,0.87559,1.20452,0.61298,0.97593,0.52957,0.54272,0.25788,0.001288,0.001288,0.001288
46,19542.3,1.14442,0.56317,0.95143,0.51941,0.54218,0.25256,0.6473,0.50241,0.55845,0.32286,0.74117,0.74138,0.87642,1.2046,0.61354,0.97567,0.52734,0.54284,0.25839,0.00109,0.00109,0.00109
47,19967.4,1.14434,0.56149,0.94935,0.52129,0.54072,0.25066,0.64143,0.50379,0.55719,0.32179,0.74312,0.74259,0.87722,1.20438,0.61404,0.97551,0.52663,0.54282,0.25812,0.000892,0.000892,0.000892
48,20392.9,1.13687,0.55585,0.94944,0.51693,0.53939,0.25251,0.63947,0.50455,0.55792,0.32117,0.74501,0.74375,0.87798,1.20405,0.61419,0.97552,0.52558,0.5425,0.25786,0.000694,0.000694,0.000694
49,20818.4,1.1343,0.55298,0.94846,0.52146,0.53375,0.25247,0.64242,0.502,0.55741,0.32097,0.74683,0.74487,0.87871,1.2041,0.61459,0.97557,0.52457,0.54251,0.25772,0.000496,0.000496,0.000496
50,21243.3,1.13204,0.54902,0.94707,0.50687,0.53079,0.25103,0.6367,0.5051,0.55714,0.32074,0.74859,0.74594,0.87941,1.20467,0.61525,0.97575,0.5242,0.54254,0.25767,0.000298,0.000298,0.000298
