epoch,time,config,train/box,train/cls,train/dfl,train/weather,train/scene,train/timeofday,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/acc_weather,metrics/acc_scene,metrics/acc_timeofday,val/box,val/cls,val/dfl,val/weather,val/scene,val/timeofday,lr/pg0,lr/pg1,lr/pg2
13,3957.22,base,1.24776,0.693968,0.986389,0.75068,0.672753,0.28382,0.72324,0.47425,0.51906,0.29863,0.73448,0.74565,0.91069,1.22125,0.67072,0.97375,0.72775,0.66404,0.28398,0.007624,0.007624,0.007624
14,4722.31,super,1.23442,0.673979,0.983692,0.71484,0.650744,0.278027,0.73168,0.47966,0.53212,0.30491,0.73165,0.74575,0.91169,1.2097,0.65016,0.97396,0.70712,0.6508,0.27768,0.007426,0.007426,0.007426
14,4748.14,base,1.24246,0.688309,0.982003,0.727669,0.657293,0.279723,0.72867,0.47114,0.52496,0.30087,0.72498,0.74565,0.91099,1.21834,0.6636,0.97082,0.72423,0.66022,0.28088,0.007426,0.007426,0.007426
15,5513.42,super,1.23171,0.672094,0.984366,0.695966,0.644355,0.274807,0.72078,0.48362,0.53269,0.30577,0.73697,0.74756,0.91199,1.21554,0.64581,0.97708,0.6981,0.63437,0.27584,0.007228,0.007228,0.007228
15,5539.06,base,1.24013,0.686582,0.98144,0.706694,0.652456,0.277051,0.72023,0.48151,0.5271,0.30224,0.73538,0.74465,0.91209,1.22237,0.65831,0.97273,0.70767,0.6483,0.27815,0.007228,0.007228,0.007228
16,6304.38,super,1.22593,0.663064,0.984214,0.682633,0.62946,0.276534,0.63286,0.47865,0.53397,0.30769,0.75155,0.7538,0.91159,1.21028,0.64357,0.97539,0.66484,0.61634,0.28127,0.00703,0.00703,0.00703
16,6330.06,base,1.234,0.67785,0.981729,0.692317,0.638598,0.278566,0.62508,0.47561,0.5284,0.30368,0.74986,0.74696,0.91089,1.21833,0.65723,0.97312,0.67903,0.63023,0.28386,0.00703,0.00703,0.00703
17,7095.67,super,1.22501,0.661183,0.985847,0.671609,0.603476,0.275018,0.73821,0.48422,0.53892,0.30995,0.74952,0.76938,0.91099,1.20778,0.63913,0.9757,0.67391,0.59166,0.27695,0.006832,0.006832,0.006832
17,7121.33,base,1.23327,0.675699,0.982073,0.681248,0.612669,0.277148,0.73844,0.47934,0.53374,0.30591,0.7485,0.76083,0.91029,1.21495,0.6523,0.97307,0.67674,0.60322,0.28206,0.006832,0.006832,0.006832
18,7886.5,super,1.22105,0.657798,0.981311,0.656333,0.591856,0.272356,0.72766,0.49212,0.55044,0.32209,0.75461,0.77772,0.91199,1.20163,0.63709,0.97412,0.63504,0.58378,0.2703,0.006634,0.006634,0.006634
