epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
19,34598.7,super,1.31876,0.720231,1.1081,0.66334,0.58435,0.62651,0.37277,1.32462,0.72054,1.10243,0.000406,0.000406,0.000406
19,34669.9,base,1.33118,0.74467,1.10552,0.63438,0.57351,0.62096,0.36715,1.3325,0.73981,1.09637,0.000406,0.000406,0.000406
20,36420.5,super,1.31718,0.718972,1.11239,0.70418,0.5735,0.62936,0.37466,1.32402,0.72032,1.10174,0.000373,0.000373,0.000373
20,36491.7,base,1.33,0.743968,1.10726,0.64782,0.57416,0.62465,0.37,1.33139,0.73894,1.09423,0.000373,0.000373,0.000373
21,38239.7,super,1.3164,0.715205,1.10622,0.69158,0.57261,0.63019,0.37557,1.32379,0.71879,1.09969,0.00034,0.00034,0.00034
21,38310.9,base,1.32853,0.740202,1.10254,0.68607,0.5879,0.62736,0.37321,1.33086,0.73701,1.09303,0.00034,0.00034,0.00034
22,40057.5,super,1.31568,0.713282,1.1058,0.6553,0.58794,0.62756,0.37341,1.32387,0.71791,1.10188,0.000307,0.000307,0.000307
22,40128.6,base,1.32819,0.738459,1.10261,0.68543,0.5778,0.62511,0.37118,1.33146,0.73577,1.09398,0.000307,0.000307,0.000307
23,41877.4,super,1.31351,0.712797,1.10611,0.67769,0.58741,0.63388,0.3791,1.32359,0.71732,1.09774,0.000274,0.000274,0.000274
23,41948.5,base,1.32603,0.737232,1.102,0.66082,0.60439,0.62462,0.37101,1.33071,0.73499,1.09092,0.000274,0.000274,0.000274
24,43696.4,super,1.31381,0.712219,1.10225,0.6819,0.59021,0.63432,0.37962,1.32283,0.71719,1.09664,0.000241,0.000241,0.000241
24,43767.5,base,1.32646,0.736577,1.09943,0.66836,0.6013,0.62621,0.37186,1.3299,0.73514,1.09115,0.000241,0.000241,0.000241
25,45517.1,super,1.31223,0.709236,1.10562,0.69266,0.57354,0.63146,0.37688,1.32337,0.71656,1.10184,0.000208,0.000208,0.000208
25,45588.2,base,1.32492,0.734551,1.10221,0.6733,0.58446,0.6262,0.372,1.33042,0.73406,1.09417,0.000208,0.000208,0.000208
26,47335.7,super,1.31209,0.708421,1.10788,0.70691,0.56781,0.6328,0.37732,1.32286,0.71645,1.10246,0.000175,0.000175,0.000175
26,47406.7,base,1.32486,0.733926,1.1039,0.69929,0.58963,0.62956,0.37479,1.3299,0.7341,1.09516,0.000175,0.000175,0.000175
27,49154.2,super,1.31118,0.707476,1.10815,0.6914,0.56822,0.63106,0.37609,1.3229,0.71663,1.10445,0.000142,0.000142,0.000142
27,49225.2,base,1.32396,0.732623,1.10352,0.7003,0.56681,0.62687,0.37228,1.32973,0.73424,1.09618,0.000142,0.000142,0.000142
28,50971.7,super,1.31043,0.705312,1.10902,0.67309,0.57994,0.63112,0.37658,1.32309,0.71614,1.10439,0.000109,0.000109,0.000109
28,51042.9,base,1.32303,0.731114,1.10462,0.67843,0.588,0.62799,0.37298,1.32974,0.73356,1.09611,0.000109,0.000109,0.000109
29,52790.9,super,1.31123,0.704915,1.10989,0.66511,0.58502,0.632,0.37714,1.32335,0.71616,1.1046,7.6e-05,7.6e-05,7.6e-05
29,52862,base,1.32411,0.73056,1.10537,0.69873,0.57132,0.63039,0.37526,1.33011,0.73302,1.09609,7.6e-05,7.6e-05,7.6e-05
30,54608,super,1.3093,0.704753,1.10824,0.69878,0.56952,0.63698,0.38137,1.32274,0.71623,1.10341,4.3e-05,4.3e-05,4.3e-05
30,54679.1,base,1.32237,0.730631,1.10399,0.7026,0.56923,0.63074,0.37601,1.32958,0.73327,1.09544,4.3e-05,4.3e-05,4.3e-05
