epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
18,14527.8,base,1.21229,0.659212,0.968446,0.72414,0.48671,0.53537,0.31098,1.19747,0.64571,0.95881,0.0006634,0.0006634,0.0006634
19,15308,super,1.19736,0.636934,0.966383,0.64155,0.48783,0.54659,0.31853,1.18277,0.62555,0.95895,0.0006436,0.0006436,0.0006436
19,15332.6,base,1.2098,0.657702,0.967486,0.72516,0.48822,0.53915,0.31325,1.19381,0.64356,0.9597,0.0006436,0.0006436,0.0006436
20,16113.3,super,1.19956,0.63731,0.96434,0.64091,0.48942,0.54496,0.31744,1.185,0.62529,0.96019,0.0006238,0.0006238,0.0006238
20,16137.9,base,1.2116,0.657724,0.964936,0.67701,0.51181,0.54374,0.31816,1.1957,0.64377,0.95947,0.0006238,0.0006238,0.0006238
21,16918.7,super,1.19333,0.631518,0.966228,0.73612,0.49157,0.54619,0.31866,1.18448,0.62451,0.95975,0.000604,0.000604,0.000604
21,16943.3,base,1.20575,0.652333,0.96672,0.73131,0.48545,0.54106,0.31469,1.19743,0.64325,0.96123,0.000604,0.000604,0.000604
22,17724,super,1.19461,0.63144,0.966002,0.63655,0.49629,0.55007,0.32009,1.18349,0.62388,0.9599,0.0005842,0.0005842,0.0005842
22,17748.6,base,1.20678,0.652379,0.966422,0.7247,0.49491,0.54332,0.3161,1.19689,0.64234,0.96087,0.0005842,0.0005842,0.0005842
23,18528.9,super,1.19664,0.630068,0.966158,0.6446,0.49119,0.54926,0.31979,1.18233,0.62153,0.95994,0.0005644,0.0005644,0.0005644
23,18553.5,base,1.20856,0.650904,0.966582,0.63419,0.48922,0.54096,0.31521,1.19399,0.63908,0.96059,0.0005644,0.0005644,0.0005644
24,19333.6,super,1.19427,0.62923,0.968175,0.63144,0.50053,0.54987,0.32131,1.18229,0.62185,0.96547,0.0005446,0.0005446,0.0005446
24,19358.1,base,1.20692,0.650014,0.968287,0.6294,0.48861,0.54064,0.31516,1.19414,0.63983,0.96423,0.0005446,0.0005446,0.0005446
25,20138.5,super,1.19262,0.628986,0.969093,0.63443,0.49805,0.54792,0.31932,1.18896,0.62624,0.97096,0.0005248,0.0005248,0.0005248
25,20163,base,1.20611,0.650885,0.969116,0.63186,0.49184,0.54132,0.31478,1.20432,0.64592,0.97155,0.0005248,0.0005248,0.0005248
26,20942.4,super,1.19038,0.626349,0.969379,0.63019,0.50296,0.54934,0.32017,1.18594,0.62249,0.96549,0.000505,0.000505,0.000505
26,20967,base,1.20326,0.647961,0.969198,0.63391,0.49214,0.54267,0.31576,1.20062,0.64211,0.96684,0.000505,0.000505,0.000505
27,21747,super,1.18813,0.62253,0.963252,0.63198,0.49813,0.55103,0.32046,1.1893,0.62404,0.96444,0.0004852,0.0004852,0.0004852
27,21771.6,base,1.2006,0.643419,0.9636,0.6317,0.49196,0.54256,0.31555,1.20404,0.64333,0.96615,0.0004852,0.0004852,0.0004852
28,22550.9,super,1.18872,0.622177,0.967646,0.63496,0.49784,0.55099,0.32135,1.18754,0.62168,0.96842,0.0004654,0.0004654,0.0004654
28,22575.4,base,1.20201,0.644152,0.96747,0.63236,0.48957,0.54201,0.31623,1.20295,0.64188,0.96942,0.0004654,0.0004654,0.0004654
29,23355.7,super,1.18854,0.623025,0.967945,0.63505,0.5011,0.55219,0.32187,1.18828,0.62156,0.96835,0.0004456,0.0004456,0.0004456
