frame_idx,latency_ms,energy_mJ
10,20.26,2387.18
11,20.08,2366.06
12,20.24,2384.46
13,20.06,2363.79
14,20.05,2361.74
15,20.09,2366.82
16,19.96,2351.09
17,19.98,2353.73
18,20.05,2362.41
19,20.08,2365.11
20,20.61,2427.66
21,20.12,2370.61
22,20.09,2367.13
23,20.23,2383.22
24,20.11,2519.71
25,20.08,2666.82
26,20.02,2659.28
27,20.43,2713.87
28,20.19,2681.32
29,20.09,2667.71
30,20.35,2703.11
31,20.11,2670.68
32,20.09,2668.91
33,20.18,2680.4
34,20.09,2667.86
35,20.04,2661.88
36,19.96,2651.43
37,20.14,2675.27
38,19.98,2653.99
39,20.11,2671.28
40,20.12,2671.66
41,20.09,2805.97
42,20.08,2804.64
43,20.05,2800.28
44,19.98,2791.29
45,20.09,2806.74
46,20.2,2821.89
47,19.99,2791.55
48,20.0,2793.62
49,19.97,2788.89
50,20.05,2801.14
51,20.12,2810.4
52,20.0,2794.12
53,20.07,2803.47
54,20.07,2803.61
55,20.0,2794.05
56,20.17,2817.5
57,20.06,2801.49
58,20.12,2809.67
59,20.38,2846.8
60,20.04,2798.98
61,20.11,2808.87
62,20.58,2874.77
63,20.36,2843.87
64,20.22,2824.65
65,20.09,2806.64
66,20.12,2810.6
67,20.07,2803.91
68,20.08,2805.34
69,19.98,2791.09
70,20.03,2797.58
71,20.13,2812.33
72,20.06,2801.84
73,20.06,2804.0
74,20.1,2811.26
75,20.1,2810.89
76,20.25,2831.33
77,20.19,2822.66
78,20.11,2811.83
79,20.25,2831.36
80,20.06,2804.73
81,20.14,2816.49
82,20.23,2828.63
83,20.14,2816.26
84,20.05,2803.59
85,20.04,2802.76
86,20.12,2813.89
87,20.23,2828.63
88,20.13,2814.59
89,20.16,2819.46
90,20.12,2810.7
91,20.09,2806.57
92,20.62,2880.85
93,20.12,2810.7
94,20.07,2803.98
95,20.49,2861.96
96,20.17,2818.46
97,20.08,2804.94
98,20.13,2812.07
99,20.16,2816.97
100,20.08,2804.51
101,20.13,2812.77
102,20.05,2800.95
103,20.02,2796.75
104,20.13,2811.5
105,20.25,2829.32
106,20.15,2817.98
107,20.11,2815.52
108,20.08,2811.02
109,20.15,2821.2
110,20.1,2813.19
111,20.06,2807.95
112,20.13,2818.03
113,20.28,2838.82
114,20.13,2818.19
115,20.18,2824.47
116,20.13,2817.86
117,20.16,2822.23
118,20.13,2818.53
119,20.1,2814.32
120,20.05,2807.11
121,20.09,2812.49
122,20.13,2818.59
123,20.08,2817.67
124,20.06,2814.19
125,20.52,2878.42
126,20.22,2837.11
127,20.05,2813.22
128,20.63,2894.07
129,20.3,2848.71
130,20.5,2876.41
131,20.28,2845.47
132,20.14,2825.4
133,20.13,2824.83
134,20.11,2821.72
135,20.13,2823.76
136,20.02,2808.41
137,20.05,2812.72
138,20.14,2825.93
139,20.06,2816.81
140,20.22,2840.59
141,20.01,2810.98
142,20.08,2821.3
143,20.08,2820.86
144,20.13,2827.87
145,20.11,2824.85
146,20.43,2870.34
147,20.23,2842.77
148,20.13,2829.04
149,20.14,2829.17
150,20.05,2817.31
151,20.17,2834.03
152,20.06,2818.52
153,20.06,2818.72
