epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
1,1762.8,super,3.1905,3.79628,3.20836,0.62367,0.09085,0.07826,0.03334,2.23925,2.02031,2.03152,0.00333181,0.00333181,0.00333181
1,1835.49,base,3.20117,3.82519,3.21773,0.61418,0.08638,0.07379,0.03083,2.25994,2.08844,2.05102,0.00333181,0.00333181,0.00333181
2,3578.7,super,2.02796,1.86217,1.78683,0.64576,0.19176,0.18921,0.08963,1.7818,1.44308,1.57387,0.00653317,0.00653317,0.00653317
2,3651.36,base,2.05211,1.9287,1.80609,0.53123,0.18042,0.17079,0.08089,1.80384,1.50258,1.59083,0.00653317,0.00653317,0.00653317
