epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
18,16205.1,base,1.36966,0.81607,1.11659,0.73723,0.51407,0.5744,0.33238,1.3556,0.79736,1.09829,0.0006634,0.0006634,0.0006634
19,17061.4,super,1.35617,0.781043,1.11616,0.73758,0.52592,0.58528,0.341,1.34801,0.76554,1.09568,0.0006436,0.0006436,0.0006436
19,17102,base,1.36851,0.81342,1.11357,0.73303,0.51598,0.5734,0.33241,1.35623,0.79533,1.09216,0.0006436,0.0006436,0.0006436
20,17956.6,super,1.35574,0.779484,1.11616,0.73567,0.52873,0.58714,0.3422,1.34758,0.76443,1.09436,0.0006238,0.0006238,0.0006238
20,17997,base,1.36782,0.81183,1.11345,0.73616,0.5181,0.57646,0.33414,1.35488,0.79442,1.09077,0.0006238,0.0006238,0.0006238
21,18852.3,super,1.35391,0.7755,1.11436,0.74503,0.52738,0.58711,0.3426,1.34571,0.76185,1.1048,0.000604,0.000604,0.000604
21,18892.7,base,1.36615,0.80722,1.11223,0.7349,0.51832,0.57761,0.33467,1.35443,0.79216,1.09941,0.000604,0.000604,0.000604
22,19748,super,1.35301,0.775917,1.11986,0.73822,0.53104,0.58911,0.34387,1.34473,0.76176,1.10553,0.0005842,0.0005842,0.0005842
22,19788.6,base,1.36565,0.808969,1.11647,0.74211,0.51831,0.57793,0.33521,1.3532,0.79206,1.09844,0.0005842,0.0005842,0.0005842
23,20644.4,super,1.35095,0.77325,1.11755,0.74167,0.52924,0.58933,0.34382,1.34493,0.75994,1.10573,0.0005644,0.0005644,0.0005644
23,20684.8,base,1.364,0.805888,1.11388,0.74104,0.51612,0.57742,0.33472,1.35292,0.79014,1.09764,0.0005644,0.0005644,0.0005644
24,21540.5,super,1.35095,0.771496,1.11102,0.74936,0.5274,0.58997,0.34455,1.34438,0.75755,1.09336,0.0005446,0.0005446,0.0005446
24,21581.1,base,1.36342,0.803681,1.10834,0.73888,0.51981,0.579,0.3366,1.35251,0.78684,1.08925,0.0005446,0.0005446,0.0005446
25,22436,super,1.35004,0.769076,1.11493,0.74816,0.52767,0.59039,0.3447,1.3442,0.75732,1.10157,0.0005248,0.0005248,0.0005248
25,22476.4,base,1.36268,0.801527,1.11236,0.73809,0.52213,0.58011,0.33663,1.35239,0.78762,1.09523,0.0005248,0.0005248,0.0005248
26,23331.8,super,1.34937,0.769638,1.11109,0.7453,0.52699,0.58923,0.34434,1.34295,0.75747,1.09708,0.000505,0.000505,0.000505
26,23372.2,base,1.36196,0.801244,1.10844,0.74145,0.51916,0.57899,0.33639,1.35048,0.78629,1.09061,0.000505,0.000505,0.000505
27,24227.7,super,1.34768,0.766597,1.11028,0.75136,0.52475,0.59185,0.34561,1.34294,0.75588,1.09902,0.0004852,0.0004852,0.0004852
27,24268,base,1.36007,0.799055,1.10777,0.74472,0.51913,0.58102,0.33732,1.35059,0.7848,1.09333,0.0004852,0.0004852,0.0004852
28,25123.1,super,1.34683,0.763393,1.11047,0.74561,0.52844,0.59166,0.34532,1.3433,0.75435,1.09842,0.0004654,0.0004654,0.0004654
28,25163.5,base,1.35955,0.795567,1.10796,0.7384,0.522,0.58164,0.33692,1.35094,0.78306,1.09242,0.0004654,0.0004654,0.0004654
29,26019,super,1.34695,0.763908,1.11041,0.74449,0.53225,0.59151,0.3455,1.34336,0.75396,1.09519,0.0004456,0.0004456,0.0004456
29,26059.4,base,1.35957,0.795765,1.10778,0.74097,0.52286,0.5821,0.33803,1.35064,0.78189,1.09011,0.0004456,0.0004456,0.0004456
30,26914.3,super,1.34659,0.761919,1.10781,0.745,0.53533,0.59288,0.34619,1.34345,0.75286,1.09545,0.0004258,0.0004258,0.0004258
30,26954.7,base,1.35928,0.79458,1.10639,0.74578,0.52213,0.58297,0.33863,1.35045,0.78172,1.09062,0.0004258,0.0004258,0.0004258
31,27809.9,super,1.34649,0.760679,1.11327,0.74619,0.53107,0.59313,0.34671,1.34278,0.75348,1.0994,0.000406,0.000406,0.000406
31,27850.3,base,1.3592,0.793912,1.1105,0.74844,0.52025,0.58316,0.33878,1.35003,0.78226,1.09376,0.000406,0.000406,0.000406
32,28705.8,super,1.3454,0.759099,1.10577,0.74742,0.52746,0.59187,0.34724,1.34348,0.75226,1.09409,0.0003862,0.0003862,0.0003862
32,28746.1,base,1.35802,0.791276,1.10478,0.74658,0.51908,0.58286,0.33916,1.34995,0.78016,1.0896,0.0003862,0.0003862,0.0003862
33,29601.3,super,1.34385,0.757969,1.1049,0.74426,0.53336,0.59345,0.34748,1.34282,0.75255,1.09383,0.0003664,0.0003664,0.0003664
33,29641.7,base,1.35666,0.789823,1.10437,0.7532,0.51723,0.58419,0.33919,1.34969,0.78009,1.08996,0.0003664,0.0003664,0.0003664
34,30497.2,super,1.3441,0.75701,1.10824,0.7469,0.53272,0.59386,0.34754,1.34269,0.75162,1.09616,0.0003466,0.0003466,0.0003466
34,30537.7,base,1.35675,0.789808,1.10666,0.74189,0.52351,0.58404,0.33976,1.34941,0.77994,1.09141,0.0003466,0.0003466,0.0003466
35,31392.2,super,1.34382,0.755172,1.10795,0.64695,0.53164,0.5936,0.34735,1.34266,0.75107,1.09628,0.0003268,0.0003268,0.0003268
35,31432.7,base,1.35683,0.788044,1.10636,0.74334,0.52452,0.58421,0.33956,1.34902,0.77906,1.09121,0.0003268,0.0003268,0.0003268
36,32287.9,super,1.34095,0.754626,1.10713,0.64879,0.53014,0.59341,0.34783,1.34234,0.7508,1.09643,0.000307,0.000307,0.000307
36,32328.2,base,1.35449,0.787227,1.10583,0.74615,0.52483,0.58552,0.33989,1.34898,0.77867,1.09148,0.000307,0.000307,0.000307
37,33183.2,super,1.34313,0.754913,1.10929,0.6503,0.53328,0.59439,0.34832,1.34237,0.75081,1.09759,0.0002872,0.0002872,0.0002872
37,33223.5,base,1.35648,0.78784,1.10779,0.74392,0.52603,0.58522,0.34031,1.34927,0.77859,1.09209,0.0002872,0.0002872,0.0002872
38,34078.5,super,1.34173,0.753861,1.11377,0.64989,0.53246,0.59528,0.34867,1.34218,0.75075,1.10139,0.0002674,0.0002674,0.0002674
38,34118.8,base,1.35515,0.787895,1.11056,0.74154,0.52725,0.58642,0.34101,1.34898,0.77873,1.09428,0.0002674,0.0002674,0.0002674
39,34974.2,super,1.34052,0.752555,1.11289,0.65393,0.52935,0.59507,0.34843,1.34211,0.75064,1.1025,0.0002476,0.0002476,0.0002476
39,35014.5,base,1.3543,0.786359,1.10883,0.64081,0.52701,0.58596,0.34093,1.34894,0.77879,1.09457,0.0002476,0.0002476,0.0002476
40,35869.9,super,1.34001,0.751014,1.10745,0.65226,0.52937,0.59528,0.34886,1.34209,0.75032,1.10041,0.0002278,0.0002278,0.0002278
40,35910.5,base,1.35342,0.784457,1.10544,0.63881,0.52876,0.5861,0.34108,1.34897,0.77808,1.09307,0.0002278,0.0002278,0.0002278
41,36764.6,super,1.33862,0.749417,1.10602,0.65535,0.52821,0.59589,0.34948,1.3422,0.74984,1.09881,0.000208,0.000208,0.000208
41,36804.9,base,1.35214,0.782518,1.10409,0.64512,0.52631,0.58644,0.34148,1.34879,0.77735,1.09206,0.000208,0.000208,0.000208
42,37660,super,1.33861,0.74778,1.10915,0.65111,0.5331,0.59586,0.34963,1.34197,0.74912,1.09932,0.0001882,0.0001882,0.0001882
42,37700.3,base,1.35238,0.781444,1.10596,0.64282,0.52939,0.5875,0.34173,1.34886,0.77667,1.09243,0.0001882,0.0001882,0.0001882
43,38555.1,super,1.33828,0.748284,1.1064,0.65279,0.53186,0.59644,0.34966,1.34177,0.74883,1.09856,0.0001684,0.0001684,0.0001684
43,38595.4,base,1.35214,0.781822,1.10435,0.64318,0.52955,0.58733,0.34188,1.34858,0.77634,1.09193,0.0001684,0.0001684,0.0001684
44,39449.6,super,1.33894,0.746941,1.10574,0.65026,0.53481,0.59648,0.34953,1.34191,0.74853,1.09813,0.0001486,0.0001486,0.0001486
44,39489.9,base,1.35247,0.780587,1.10424,0.64427,0.53002,0.58737,0.34181,1.3487,0.77615,1.09174,0.0001486,0.0001486,0.0001486
45,40344.9,super,1.3375,0.745561,1.10529,0.65132,0.53417,0.59665,0.34979,1.34208,0.74846,1.09764,0.0001288,0.0001288,0.0001288
45,40385.3,base,1.35116,0.779323,1.10324,0.64574,0.52782,0.58756,0.34193,1.3488,0.77585,1.09138,0.0001288,0.0001288,0.0001288
46,41240.2,super,1.33837,0.74536,1.10468,0.65085,0.53486,0.59663,0.34946,1.34226,0.74812,1.09712,0.000109,0.000109,0.000109
46,41280.6,base,1.3521,0.779223,1.1026,0.64652,0.52796,0.58788,0.34188,1.34883,0.77552,1.09092,0.000109,0.000109,0.000109
47,42136.7,super,1.33563,0.743209,1.10478,0.64809,0.53546,0.59624,0.3495,1.3422,0.74782,1.09708,8.92e-05,8.92e-05,8.92e-05
47,42177.1,base,1.34944,0.777596,1.10306,0.64581,0.52767,0.588,0.34197,1.34873,0.77532,1.09088,8.92e-05,8.92e-05,8.92e-05
48,43032.7,super,1.33622,0.743904,1.10339,0.64868,0.53477,0.59632,0.34918,1.34226,0.74775,1.09671,6.94e-05,6.94e-05,6.94e-05
48,43072.9,base,1.35017,0.777952,1.10205,0.64577,0.52771,0.58812,0.34195,1.34874,0.7751,1.09057,6.94e-05,6.94e-05,6.94e-05
49,43928,super,1.33595,0.742866,1.1049,0.65103,0.53294,0.59597,0.34926,1.34228,0.7477,1.0967,4.96e-05,4.96e-05,4.96e-05
49,43968.4,base,1.34958,0.776791,1.10307,0.64473,0.52797,0.58812,0.34187,1.34883,0.77507,1.09063,4.96e-05,4.96e-05,4.96e-05
50,44823.5,super,1.33549,0.742396,1.10332,0.65016,0.533,0.59617,0.34951,1.34241,0.74775,1.09653,2.98e-05,2.98e-05,2.98e-05
50,44863.8,base,1.34946,0.776247,1.10206,0.64455,0.52839,0.58786,0.34205,1.34885,0.77489,1.09054,2.98e-05,2.98e-05,2.98e-05
