epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
19,37020.6,super,1.3233,0.725694,1.10767,0.76423,0.55974,0.6256,0.37235,1.32394,0.72218,1.09833,0.000406,0.000406,0.000406
19,37128.5,base,1.33553,0.750941,1.10496,0.75748,0.55589,0.62039,0.36807,1.33195,0.74056,1.09301,0.000406,0.000406,0.000406
20,38970.6,super,1.32018,0.722981,1.10851,0.66972,0.55705,0.627,0.37277,1.32473,0.72139,1.10241,0.000373,0.000373,0.000373
20,39078.6,base,1.33284,0.748141,1.1052,0.7659,0.55144,0.62092,0.36704,1.33268,0.7402,1.09527,0.000373,0.000373,0.000373
21,40920.4,super,1.32142,0.721156,1.11231,0.66973,0.5584,0.62536,0.37213,1.32428,0.72039,1.10295,0.00034,0.00034,0.00034
21,41028.3,base,1.33416,0.746389,1.10811,0.64895,0.58026,0.62225,0.36889,1.33183,0.73955,1.09642,0.00034,0.00034,0.00034
22,43063.1,super,1.31864,0.719054,1.1095,0.65647,0.58006,0.62606,0.37359,1.32322,0.72037,1.10224,0.000307,0.000307,0.000307
22,43194.7,base,1.33108,0.744285,1.10599,0.68256,0.57956,0.62257,0.36969,1.33112,0.73875,1.09543,0.000307,0.000307,0.000307
23,45037.5,super,1.31748,0.718592,1.10848,0.65885,0.58154,0.62652,0.37362,1.32335,0.71876,1.10267,0.000274,0.000274,0.000274
23,45145.5,base,1.33025,0.743572,1.1055,0.66252,0.58496,0.6243,0.37068,1.331,0.73756,1.09615,0.000274,0.000274,0.000274
24,46986.7,super,1.31785,0.716368,1.10821,0.67569,0.58369,0.62852,0.37493,1.32412,0.71856,1.10027,0.000241,0.000241,0.000241
24,47094.7,base,1.33087,0.742021,1.105,0.69564,0.57596,0.62528,0.37111,1.33135,0.73636,1.0933,0.000241,0.000241,0.000241
25,48936.8,super,1.31709,0.714458,1.10576,0.64207,0.57876,0.6277,0.37471,1.32368,0.71763,1.09899,0.000208,0.000208,0.000208
